,TempHighF,TempAvgF,TempLowF,DewPointHighF,DewPointAvgF,DewPointLowF,HumidityHighPercent,HumidityAvgPercent,HumidityLowPercent,SeaLevelPressureHighInches,SeaLevelPressureAvgInches,SeaLevelPressureLowInches,VisibilityHighMiles,VisibilityAvgMiles,VisibilityLowMiles,WindHighMPH,WindAvgMPH,WindGustMPH,PrecipitationSumInches
0,-0.45,-0.6190476190476191,-1.0505939788770478,0.05,-0.5217391304347826,-0.4902995635657645,0.8888888888888888,0.6857142857142857,0.5662650602409638,-0.9999999999999839,-1.6842105263157796,-1.6000000000000072,0.051498669138363165,-3.0,-1.3145124139694524,1.4,-0.3333333333333333,1.25,460.0
1,-1.35,-1.1904761904761905,-1.4735680211435664,-1.15,-1.0869565217391304,-1.417294991654365,0.8888888888888888,0.5857142857142857,0.39759036144578314,1.499999999999992,0.6842105263157796,-0.19999999999999646,0.051498669138363165,0.0,-0.49974744792863307,0.6,0.3333333333333333,0.5,0.0
2,-1.25,-1.3333333333333333,-1.9670377371211716,-1.75,-1.4782608695652173,-1.7262934676838981,0.6190476190476191,0.3571428571428572,0.20481927710843373,2.18181818181816,2.578947368421027,2.500000000000009,0.051498669138363165,0.0,0.8581941621393993,-1.0,-0.6666666666666666,-1.125,0.0
3,-1.1,-1.2857142857142858,-2.037533410832258,-1.5,-1.434782608695652,-1.8498928580957117,0.8253968253968254,0.41428571428571426,0.14457831325301207,2.18181818181816,2.368421052631559,1.9500000000000097,0.051498669138363165,0.0,0.043429196098579856,-0.2,-0.3333333333333333,-0.125,0.0
4,-1.25,-1.0952380952380953,-1.3325766737213935,-1.1,-0.9130434782608695,-0.9228974300071113,0.7777777777777779,0.6285714285714286,0.5542168674698795,1.499999999999992,1.7368421052631373,1.8000000000000036,0.051498669138363165,0.0,0.043429196098579856,-0.6,-1.0,-0.625,1.0
5,-1.3,-1.1904761904761905,-1.4735680211435664,-1.35,-1.0869565217391304,-1.1082965156248314,0.6666666666666667,0.5142857142857143,0.44578313253012053,1.7727272727272558,2.1052631578947154,2.150000000000006,0.051498669138363165,-1.0,0.043429196098579856,-0.2,-0.6666666666666666,-0.5,0.0
6,-1.15,-0.9523809523809523,-1.0505939788770478,-1.25,-0.9565217391304348,-0.8610977348012046,0.7301587301587302,0.5428571428571428,0.44578313253012053,1.72727272727272,2.0526315789473575,2.150000000000006,0.051498669138363165,-1.0,0.043429196098579856,-1.2,-1.3333333333333333,-1.25,1.0
7,-1.05,-1.0476190476190477,-1.40307234743248,-1.15,-0.9565217391304348,-1.1082965156248314,0.873015873015873,0.5285714285714286,0.3132530120481928,1.1363636363636238,0.8947368421052662,0.6499999999999974,0.051498669138363165,0.0,0.043429196098579856,-0.6,-1.0,-0.875,1.0
8,-0.95,-1.0952380952380953,-1.6850550422768258,-0.85,-0.8695652173913043,-1.417294991654365,0.873015873015873,0.7,0.6024096385542168,1.0454545454545359,0.5263157894736882,0.3999999999999929,0.051498669138363165,0.0,-0.7713357699422395,0.8,0.0,0.375,0.0
9,-1.95,-1.5714285714285714,-1.7555507159879122,-1.75,-1.5217391304347827,-1.8498928580957117,0.6031746031746033,0.4714285714285714,0.4216867469879519,1.636363636363632,1.7368421052631373,1.7500000000000133,0.051498669138363165,0.0,0.8581941621393993,0.0,0.0,0.0,0.0
